order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size
0,delivered,2025-07-03 08:00:59,2025-07-03 08:06:04.793462,2025-07-03 08:30:09,2025-07-03 08:39:45.300,38.77166666666667,24.070108966666666,20,4
1,delivered,2025-07-03 08:00:14,2025-07-03 08:13:38.675750,2025-07-03 08:20:09,2025-07-03 08:26:21.500,26.125,6.505404166666667,31,2
2,delivered,2025-07-03 08:00:15,2025-07-03 08:13:29.868723,2025-07-03 08:15:09,2025-07-03 08:20:24.600,20.16,1.6521879499999998,15,1
3,delivered,2025-07-03 08:00:58,2025-07-03 08:10:35.806086,2025-07-03 08:10:09,2025-07-03 08:19:04.300,18.105,-0.4467681,17,1
4,delivered,2025-07-03 08:00:09,2025-07-03 08:14:03.027232,2025-07-03 08:15:09,2025-07-03 08:23:53.100,23.735,1.0995461333333334,9,2
5,delivered,2025-07-03 08:01:02,2025-07-03 08:14:39.070698,2025-07-03 08:10:09,2025-07-03 08:19:48.600,18.776666666666664,-4.5011783,16,1
6,delivered,2025-07-03 08:01:47,2025-07-03 08:15:03.142374,2025-07-03 08:20:09,2025-07-03 08:24:24.700,22.628333333333334,5.0976270999999995,25,1
7,delivered,2025-07-03 08:01:53,2025-07-03 08:14:50.301678,2025-07-03 08:15:09,2025-07-03 08:23:53.100,22.001666666666665,0.3116387,9,2
8,delivered,2025-07-03 08:02:05,2025-07-03 08:16:58.073655,2025-07-03 08:20:09,2025-07-03 08:23:30.900,21.43166666666667,3.18210575,30,1
9,delivered,2025-07-03 08:03:57,2025-07-03 08:14:27.679399,2025-07-03 08:10:09,2025-07-03 08:17:21.000,13.4,-4.311323316666667,21,1
10,delivered,2025-07-03 08:04:10,2025-07-03 08:21:21.295143,2025-07-03 08:25:09,2025-07-03 08:32:46.900,28.615000000000002,3.79508095,32,1
11,delivered,2025-07-03 08:04:44,2025-07-03 08:16:46.159424,2025-07-03 08:35:09,2025-07-03 08:47:39.500,42.925,18.38067626666667,21,4
12,delivered,2025-07-03 08:05:05,2025-07-03 08:22:04.257777,2025-07-03 08:35:09,2025-07-03 08:50:58.800,45.89666666666667,13.07903705,26,4
13,delivered,2025-07-03 08:05:08,2025-07-03 08:19:18.460993,2025-07-03 08:40:09,2025-07-03 08:48:58.000,43.833333333333336,20.842316783333334,25,4
14,delivered,2025-07-03 08:06:14,2025-07-03 08:18:15.801963,2025-07-03 08:30:09,2025-07-03 08:44:14.500,38.00833333333333,11.88663395,28,3
15,delivered,2025-07-03 08:07:14,2025-07-03 08:25:46.952563,2025-07-03 08:30:09,2025-07-03 08:38:55.800,31.696666666666665,4.367457283333334,39,3
16,delivered,2025-07-03 08:07:21,2025-07-03 08:17:56.570328,2025-07-03 08:40:09,2025-07-03 08:52:53.200,45.53666666666666,22.207161199999998,34,4
17,delivered,2025-07-03 08:08:15,2025-07-03 08:16:12.801108,2025-07-03 08:25:09,2025-07-03 08:31:04.100,22.81833333333333,8.9366482,18,1
18,delivered,2025-07-03 08:08:51,2025-07-03 08:22:26.155734,2025-07-03 08:35:09,2025-07-03 08:52:41.400,43.84,12.7140711,37,4
19,delivered,2025-07-03 08:09:23,2025-07-03 08:20:18.006299,2025-07-03 09:00:09,2025-07-03 09:17:18.100,67.91833333333334,39.849895016666665,37,3
20,delivered,2025-07-03 08:09:56,2025-07-03 08:21:05.366719,2025-07-03 08:35:09,2025-07-03 08:47:44.100,37.80166666666666,14.060554683333333,8,4
21,delivered,2025-07-03 08:09:42,2025-07-03 08:20:06.562753,2025-07-03 08:45:09,2025-07-03 09:00:06.800,50.413333333333334,25.040620783333335,23,4
22,delivered,2025-07-03 08:09:33,2025-07-03 08:24:21.822675,2025-07-03 08:35:09,2025-07-03 08:47:44.100,38.184999999999995,10.78628875,8,4
23,delivered,2025-07-03 08:09:50,2025-07-03 08:23:29.903607,2025-07-03 08:50:09,2025-07-03 09:01:02.400,51.20666666666667,26.65160655,1,4
24,delivered,2025-07-03 08:10:33,2025-07-03 08:22:32.396167,2025-07-03 08:30:09,2025-07-03 08:39:04.200,28.52,7.610063883333334,27,2
25,delivered,2025-07-03 08:10:36,2025-07-03 08:16:39.069383,2025-07-03 08:35:09,2025-07-03 08:47:34.600,36.97666666666667,18.498843616666665,38,4
26,delivered,2025-07-03 08:10:28,2025-07-03 08:25:53.897729,2025-07-03 08:50:09,2025-07-03 09:03:13.900,52.765,24.251704516666667,14,4
27,delivered,2025-07-03 08:10:43,2025-07-03 08:23:32.738841,2025-07-03 08:45:09,2025-07-03 09:01:01.600,50.309999999999995,21.60435265,2,4
28,delivered,2025-07-03 08:10:24,2025-07-03 08:17:42.002256,2025-07-03 08:30:09,2025-07-03 08:36:56.100,26.535,12.4499624,23,4
29,delivered,2025-07-03 08:11:21,2025-07-03 08:21:24.128843,2025-07-03 08:40:09,2025-07-03 08:56:57.800,45.61333333333334,18.747852616666666,30,4
30,delivered,2025-07-03 08:11:46,2025-07-03 08:21:13.217166,2025-07-03 08:20:09,2025-07-03 08:29:40.800,17.913333333333334,-1.0702861000000001,38,1
31,delivered,2025-07-03 08:11:11,2025-07-03 08:24:33.020922,2025-07-03 08:35:09,2025-07-03 08:42:57.000,31.766666666666666,10.5996513,40,4
32,delivered,2025-07-03 08:12:27,2025-07-03 08:20:54.833984,2025-07-03 08:20:09,2025-07-03 08:26:21.500,13.908333333333333,-0.7638997333333334,31,2
33,delivered,2025-07-03 08:12:27,2025-07-03 08:25:21.481946,2025-07-03 08:30:09,2025-07-03 08:39:45.300,27.305,4.791967566666667,20,4
34,delivered,2025-07-03 08:13:41,2025-07-03 08:25:53.277719,2025-07-03 08:55:09,2025-07-03 09:04:32.200,50.85333333333333,29.26203801666667,38,4
35,delivered,2025-07-03 08:13:54,2025-07-03 08:20:39.562449,2025-07-03 08:25:09,2025-07-03 08:32:24.200,18.503333333333334,4.49062585,10,1
36,delivered,2025-07-03 08:13:32,2025-07-03 08:22:24.659031,2025-07-03 08:30:09,2025-07-03 08:38:55.800,25.396666666666665,7.739016149999999,39,3
37,delivered,2025-07-03 08:13:46,2025-07-03 08:27:37.091288,2025-07-03 08:30:09,2025-07-03 08:38:43.100,24.951666666666664,2.5318118666666667,33,4
38,delivered,2025-07-03 08:13:06,2025-07-03 08:26:23.486960,2025-07-03 08:45:09,2025-07-03 09:00:06.800,47.013333333333335,18.758550666666668,23,4
39,delivered,2025-07-03 08:14:33,2025-07-03 08:28:29.311426,2025-07-03 08:35:09,2025-07-03 08:42:57.000,28.4,6.6614762333333335,40,4
40,delivered,2025-07-03 08:14:19,2025-07-03 08:25:21.762586,2025-07-03 08:25:09,2025-07-03 08:32:43.000,18.4,-0.2127097666666667,19,1
