order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size
0,delivered,2025-07-03 08:00:59,2025-07-03 08:06:04.793462,2025-07-03 08:30:09,2025-07-03 08:39:45.300,38.77166666666667,24.070108966666666,5.0,4
1,delivered,2025-07-03 08:00:14,2025-07-03 08:13:38.675750,2025-07-03 08:25:09,2025-07-03 08:35:22.800,35.14666666666667,11.505404166666667,1.0,4
2,delivered,2025-07-03 08:00:15,2025-07-03 08:13:29.868723,2025-07-03 08:15:09,2025-07-03 08:20:24.600,20.16,1.6521879499999998,11.0,1
3,delivered,2025-07-03 08:00:58,2025-07-03 08:10:35.806086,2025-07-03 08:35:09,2025-07-03 08:43:44.900,42.781666666666666,24.5532319,14.0,4
4,delivered,2025-07-03 08:00:09,2025-07-03 08:14:03.027232,2025-07-03 08:10:09,2025-07-03 08:18:53.100,18.735,-3.9004538666666666,1.0,2
5,delivered,2025-07-03 08:01:02,2025-07-03 08:14:39.070698,2025-07-03 08:10:09,2025-07-03 08:19:48.600,18.776666666666664,-4.5011783,12.0,1
6,delivered,2025-07-03 08:01:47,2025-07-03 08:15:03.142374,2025-07-03 08:30:09,2025-07-03 08:40:24.300,38.62166666666667,15.0976271,3.0,4
7,delivered,2025-07-03 08:01:53,2025-07-03 08:14:50.301678,2025-07-03 08:10:09,2025-07-03 08:18:53.100,17.00166666666667,-4.6883612999999995,1.0,2
8,delivered,2025-07-03 08:02:05,2025-07-03 08:16:58.073655,2025-07-03 12:50:09,2025-07-03 13:04:05.900,302.01500000000004,273.18210575,13.0,4
9,delivered,2025-07-03 08:03:57,2025-07-03 08:14:27.679399,2025-07-03 08:20:09,2025-07-03 08:28:42.800,24.763333333333332,5.688676683333333,10.0,4
10,delivered,2025-07-03 08:04:10,2025-07-03 08:21:21.295143,2025-07-03 08:50:09,2025-07-03 09:02:26.200,58.269999999999996,28.79508095,7.0,4
11,delivered,2025-07-03 08:04:44,2025-07-03 08:16:46.159424,2025-07-03 08:30:09,2025-07-03 08:42:34.500,37.84166666666667,13.380676266666667,8.0,4
12,delivered,2025-07-03 08:05:05,2025-07-03 08:22:04.257777,2025-07-03 08:20:09,2025-07-03 08:28:42.800,23.63,-1.92096295,10.0,4
13,delivered,2025-07-03 08:05:08,2025-07-03 08:19:18.460993,2025-07-03 08:35:09,2025-07-03 08:48:44.200,43.60333333333333,15.842316783333333,10.0,4
14,ready,2025-07-03 08:06:14,2025-07-03 08:18:15.801963,,,,,,1
15,delivered,2025-07-03 08:07:14,2025-07-03 08:25:46.952563,2025-07-03 08:50:09,2025-07-03 09:05:06.400,57.873333333333335,24.367457283333334,3.0,4
16,delivered,2025-07-03 08:07:21,2025-07-03 08:17:56.570328,2025-07-03 08:40:09,2025-07-03 08:53:51.900,46.515,22.207161199999998,6.0,4
17,delivered,2025-07-03 08:08:15,2025-07-03 08:16:12.801108,2025-07-03 12:10:09,2025-07-03 12:21:40.500,253.425,233.9366482,3.0,4
