courier_id,orders_delivered,total_distance_km,shift_duration_hours,bundles_picked_up,driving_time_minutes
1,115,228.21529999999998,12.469202148333334,34,421.5916666666666
2,105,229.70070000000004,12.469202148333334,31,409.46
3,117,249.47440000000006,12.469202148333334,35,435.87333333333345
4,118,250.7601,12.469202148333334,36,429.5183333333334
5,111,236.09030000000004,12.469202148333334,32,419.9966666666668
6,120,239.69840000000002,12.469202148333334,35,428.7816666666665
7,113,244.0822,12.469202148333334,35,434.68666666666655
8,116,238.56530000000004,12.469202148333334,33,437.32666666666665
9,117,240.10320000000007,12.469202148333334,37,421.6133333333334
10,119,236.69059999999996,12.469202148333334,34,423.1383333333333
11,108,235.2758,12.469202148333334,33,418.5083333333334
12,111,245.24659999999997,12.469202148333334,34,435.6783333333335
13,112,260.05709999999993,12.469202148333334,33,449.3583333333334
14,106,235.65370000000001,12.469202148333334,33,413.7516666666666
