order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size
0,delivered,2025-07-03 08:00:59,2025-07-03 08:06:04.793462,2025-07-03 08:30:09,2025-07-03 08:39:45.300,38.77166666666667,24.070108966666666,18,4
1,delivered,2025-07-03 08:00:14,2025-07-03 08:13:38.675750,2025-07-03 08:35:09,2025-07-03 08:49:47.200,49.55333333333333,21.505404166666665,3,4
2,delivered,2025-07-03 08:00:15,2025-07-03 08:13:29.868723,2025-07-03 08:15:09,2025-07-03 08:20:24.600,20.16,1.6521879499999998,15,1
3,delivered,2025-07-03 08:00:58,2025-07-03 08:10:35.806086,2025-07-03 08:30:09,2025-07-03 08:40:44.200,39.769999999999996,19.5532319,14,4
4,delivered,2025-07-03 08:00:09,2025-07-03 08:14:03.027232,2025-07-03 08:15:09,2025-07-03 08:23:53.100,23.735,1.0995461333333334,9,2
5,delivered,2025-07-03 08:01:02,2025-07-03 08:14:39.070698,2025-07-03 08:10:09,2025-07-03 08:19:48.600,18.776666666666664,-4.5011783,16,1
6,delivered,2025-07-03 08:01:47,2025-07-03 08:15:03.142374,2025-07-03 08:25:09,2025-07-03 08:36:20.600,34.559999999999995,10.0976271,10,4
7,delivered,2025-07-03 08:01:53,2025-07-03 08:14:50.301678,2025-07-03 08:15:09,2025-07-03 08:23:53.100,22.001666666666665,0.3116387,9,2
8,delivered,2025-07-03 08:02:05,2025-07-03 08:16:58.073655,2025-07-03 08:20:09,2025-07-03 08:23:30.900,21.43166666666667,3.18210575,27,1
9,delivered,2025-07-03 08:03:57,2025-07-03 08:14:27.679399,2025-07-03 08:30:09,2025-07-03 08:43:12.000,39.25,15.688676683333334,9,4
10,delivered,2025-07-03 08:04:10,2025-07-03 08:21:21.295143,2025-07-03 08:20:09,2025-07-03 08:25:29.900,21.331666666666667,-1.20491905,22,1
11,delivered,2025-07-03 08:04:44,2025-07-03 08:16:46.159424,2025-07-03 08:30:09,2025-07-03 08:39:18.600,34.57666666666667,13.380676266666667,23,4
12,delivered,2025-07-03 08:05:05,2025-07-03 08:22:04.257777,2025-07-03 08:25:09,2025-07-03 08:31:10.800,26.096666666666668,3.0790370499999997,26,4
13,delivered,2025-07-03 08:05:08,2025-07-03 08:19:18.460993,2025-07-03 08:35:09,2025-07-03 08:48:55.600,43.79333333333333,15.842316783333333,19,4
14,delivered,2025-07-03 08:06:14,2025-07-03 08:18:15.801963,2025-07-03 08:35:09,2025-07-03 08:46:45.600,40.526666666666664,16.88663395,8,3
15,delivered,2025-07-03 08:07:14,2025-07-03 08:25:46.952563,2025-07-03 08:30:09,2025-07-03 08:39:49.000,32.583333333333336,4.367457283333334,27,3
16,delivered,2025-07-03 08:07:21,2025-07-03 08:17:56.570328,2025-07-03 08:40:09,2025-07-03 08:52:42.900,45.365,22.207161199999998,26,4
17,delivered,2025-07-03 08:08:15,2025-07-03 08:16:12.801108,2025-07-03 08:20:09,2025-07-03 08:24:55.300,16.671666666666667,3.9366482,28,1
18,delivered,2025-07-03 08:08:51,2025-07-03 08:22:26.155734,2025-07-03 09:00:09,2025-07-03 09:15:58.300,67.12166666666667,37.7140711,10,4
19,delivered,2025-07-03 08:09:23,2025-07-03 08:20:18.006299,2025-07-03 08:40:09,2025-07-03 08:50:57.600,41.57666666666667,19.849895016666668,2,4
20,delivered,2025-07-03 08:09:56,2025-07-03 08:21:05.366719,2025-07-03 09:05:09,2025-07-03 09:18:22.300,68.43833333333333,44.06055468333333,15,4
21,delivered,2025-07-03 08:09:42,2025-07-03 08:20:06.562753,2025-07-03 08:45:09,2025-07-03 09:00:10.000,50.46666666666667,25.040620783333335,18,4
22,delivered,2025-07-03 08:09:33,2025-07-03 08:24:21.822675,2025-07-03 09:05:09,2025-07-03 09:18:22.300,68.82166666666667,40.786288750000004,15,4
23,delivered,2025-07-03 08:09:50,2025-07-03 08:23:29.903607,2025-07-03 08:50:09,2025-07-03 09:02:14.400,52.406666666666666,26.65160655,30,4
24,delivered,2025-07-03 08:10:33,2025-07-03 08:22:32.396167,2025-07-03 11:40:09,2025-07-03 11:58:34.300,228.02166666666665,197.6100638833333,19,3
25,delivered,2025-07-03 08:10:36,2025-07-03 08:16:39.069383,2025-07-03 08:30:09,2025-07-03 08:41:16.200,30.67,13.498843616666667,20,4
26,delivered,2025-07-03 08:10:28,2025-07-03 08:25:53.897729,2025-07-03 08:25:09,2025-07-03 08:33:23.200,22.92,-0.7482954833333333,12,4
27,delivered,2025-07-03 08:10:43,2025-07-03 08:23:32.738841,2025-07-03 08:20:09,2025-07-03 08:29:50.800,19.13,-3.39564735,3,4
28,delivered,2025-07-03 08:10:24,2025-07-03 08:17:42.002256,2025-07-03 08:35:09,2025-07-03 08:45:43.200,35.32,17.4499624,4,4
29,delivered,2025-07-03 08:11:21,2025-07-03 08:21:24.128843,2025-07-03 08:50:09,2025-07-03 09:02:29.300,51.138333333333335,28.747852616666666,29,4
30,delivered,2025-07-03 08:11:46,2025-07-03 08:21:13.217166,2025-07-03 11:00:09,2025-07-03 11:16:08.800,184.38,158.9297139,9,4
31,delivered,2025-07-03 08:11:11,2025-07-03 08:24:33.020922,2025-07-03 08:35:09,2025-07-03 08:42:57.000,31.766666666666666,10.5996513,17,4
32,delivered,2025-07-03 08:12:27,2025-07-03 08:20:54.833984,2025-07-03 08:40:09,2025-07-03 08:52:30.100,40.05166666666666,19.236100266666664,12,4
33,delivered,2025-07-03 08:12:27,2025-07-03 08:25:21.481946,2025-07-03 08:30:09,2025-07-03 08:39:45.300,27.305,4.791967566666667,18,4
34,delivered,2025-07-03 08:13:41,2025-07-03 08:25:53.277719,2025-07-03 08:35:09,2025-07-03 08:48:55.600,35.24333333333333,9.262038016666667,19,4
35,delivered,2025-07-03 08:13:54,2025-07-03 08:20:39.562449,2025-07-03 08:20:09,2025-07-03 08:27:53.800,13.996666666666666,-0.50937415,21,1
36,delivered,2025-07-03 08:13:32,2025-07-03 08:22:24.659031,2025-07-03 08:30:09,2025-07-03 08:39:49.000,26.283333333333335,7.739016149999999,27,3
37,delivered,2025-07-03 08:13:46,2025-07-03 08:27:37.091288,2025-07-03 08:25:09,2025-07-03 08:31:10.800,17.413333333333334,-2.4681881333333333,26,4
38,delivered,2025-07-03 08:13:06,2025-07-03 08:26:23.486960,2025-07-03 08:45:09,2025-07-03 09:00:10.000,47.06666666666667,18.758550666666668,18,4
39,delivered,2025-07-03 08:14:33,2025-07-03 08:28:29.311426,2025-07-03 08:35:09,2025-07-03 08:42:57.000,28.4,6.6614762333333335,17,4
40,delivered,2025-07-03 08:14:19,2025-07-03 08:25:21.762586,2025-07-03 08:55:09,2025-07-03 09:03:56.000,49.61666666666667,29.787290233333334,6,4
41,delivered,2025-07-03 08:14:19,2025-07-03 08:29:01.439454,2025-07-03 08:30:09,2025-07-03 08:41:16.200,26.953333333333333,1.1260091,20,4
42,delivered,2025-07-03 08:14:59,2025-07-03 08:23:26.999070,2025-07-03 08:45:09,2025-07-03 08:55:04.000,40.083333333333336,21.7000155,25,4
43,delivered,2025-07-03 08:14:15,2025-07-03 08:24:06.207052,2025-07-03 11:40:09,2025-07-03 11:58:34.300,224.32166666666666,196.04654913333334,19,3
44,delivered,2025-07-03 08:14:13,2025-07-03 08:30:33.574419,2025-07-03 08:30:09,2025-07-03 08:39:18.600,25.09333333333333,-0.40957364999999996,23,4
45,delivered,2025-07-03 08:14:41,2025-07-03 08:26:23.603379,2025-07-03 09:10:09,2025-07-03 09:22:45.100,68.06833333333333,43.756610349999995,30,4
46,delivered,2025-07-03 08:15:20,2025-07-03 08:24:56.260550,2025-07-03 08:30:09,2025-07-03 08:43:12.000,27.866666666666667,5.212324166666666,9,4
47,delivered,2025-07-03 08:16:06,2025-07-03 08:24:15.420710,2025-07-03 08:25:09,2025-07-03 08:31:10.800,15.08,0.8929881666666667,26,4
48,delivered,2025-07-03 08:16:48,2025-07-03 08:29:10.751561,2025-07-03 08:35:09,2025-07-03 08:46:13.300,29.421666666666667,5.970807316666667,6,4
49,delivered,2025-07-03 08:16:46,2025-07-03 08:31:50.861940,2025-07-03 08:40:09,2025-07-03 08:50:57.600,34.193333333333335,8.302301,2,4
50,delivered,2025-07-03 08:17:48,2025-07-03 08:24:10.958575,2025-07-03 08:40:09,2025-07-03 08:50:57.600,33.16,15.967357083333333,2,4
51,delivered,2025-07-03 08:17:41,2025-07-03 08:30:40.005647,2025-07-03 08:55:09,2025-07-03 09:06:27.600,48.776666666666664,24.483239216666668,19,4
52,delivered,2025-07-03 08:17:49,2025-07-03 08:31:10.369799,2025-07-03 08:40:09,2025-07-03 08:52:42.900,34.89833333333333,8.977170016666667,26,4
53,delivered,2025-07-03 08:18:18,2025-07-03 08:32:46.864940,2025-07-03 08:35:09,2025-07-03 08:49:08.700,30.845000000000002,2.368917666666667,21,4
