order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size
0,delivered,2025-07-03 08:00:29,2025-07-03 08:10:21.704666,2025-07-03 08:15:29,2025-07-03 08:25:25.500,24.941666666666666,5.121588900000001,40,1
1,delivered,2025-07-03 08:01:26,2025-07-03 08:16:06.907306,2025-07-03 08:15:29,2025-07-03 08:21:15.400,19.823333333333334,-0.6317884333333333,7,2
2,delivered,2025-07-03 08:01:15,2025-07-03 08:10:04.710513,2025-07-03 08:15:29,2025-07-03 08:25:18.200,24.053333333333335,5.404824783333334,41,2
3,delivered,2025-07-03 08:02:02,2025-07-03 08:11:25.702057,2025-07-03 08:20:29,2025-07-03 08:27:31.000,25.483333333333334,9.054965716666667,4,1
4,delivered,2025-07-03 08:02:20,2025-07-03 08:13:22.736020,2025-07-03 08:35:29,2025-07-03 08:51:29.800,49.163333333333334,22.104399666666666,2,4
5,delivered,2025-07-03 08:03:54,2025-07-03 08:12:28.083100,2025-07-03 08:35:29,2025-07-03 08:47:27.400,43.556666666666665,23.015281666666667,4,4
6,delivered,2025-07-03 08:03:46,2025-07-03 08:20:03.686894,2025-07-03 08:35:29,2025-07-03 08:47:04.900,43.315000000000005,15.421885099999999,55,4
7,delivered,2025-07-03 08:03:16,2025-07-03 08:18:07.587183,2025-07-03 08:35:29,2025-07-03 08:55:37.600,52.36,17.356880283333332,50,4
8,delivered,2025-07-03 08:03:05,2025-07-03 08:08:32.523217,2025-07-03 08:10:29,2025-07-03 08:18:18.800,15.229999999999999,1.9412797166666667,15,1
9,delivered,2025-07-03 08:04:36,2025-07-03 08:10:08.906867,2025-07-03 08:30:29,2025-07-03 08:39:57.200,35.35333333333333,20.334885550000003,12,4
10,delivered,2025-07-03 08:04:40,2025-07-03 08:14:42.179288,2025-07-03 08:20:29,2025-07-03 08:26:58.600,22.31,5.7803452,2,1
11,delivered,2025-07-03 08:04:15,2025-07-03 08:17:44.223292,2025-07-03 08:15:29,2025-07-03 08:21:52.100,17.618333333333332,-2.253721533333333,14,1
12,delivered,2025-07-03 08:04:33,2025-07-03 08:18:35.282128,2025-07-03 08:40:29,2025-07-03 08:52:37.300,48.07166666666667,21.895297866666667,10,4
13,delivered,2025-07-03 08:05:35,2025-07-03 08:21:48.414655,2025-07-03 08:50:29,2025-07-03 09:00:39.700,55.07833333333333,28.676422416666664,7,4
14,delivered,2025-07-03 08:06:20,2025-07-03 08:19:10.900620,2025-07-03 08:45:29,2025-07-03 08:55:47.700,49.461666666666666,26.301656333333334,31,4
