order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size
0,delivered,2025-07-03 08:00:29,2025-07-03 08:10:21.704666,2025-07-03 08:10:29,2025-07-03 08:20:25.500,19.941666666666666,0.12158890000000001,18,1
1,delivered,2025-07-03 08:01:26,2025-07-03 08:16:06.907306,2025-07-03 08:35:29,2025-07-03 08:45:29.400,44.056666666666665,19.368211566666666,18,4
2,delivered,2025-07-03 08:01:15,2025-07-03 08:10:04.710513,2025-07-03 08:05:29,2025-07-03 08:13:06.300,11.854999999999999,-4.595175216666666,8,1
3,delivered,2025-07-03 08:02:02,2025-07-03 08:11:25.702057,2025-07-03 08:10:29,2025-07-03 08:20:14.000,18.2,-0.9450342833333334,17,1
4,delivered,2025-07-03 08:02:20,2025-07-03 08:13:22.736020,2025-07-03 08:35:29,2025-07-03 08:48:25.100,46.085,22.104399666666666,6,4
5,delivered,2025-07-03 08:03:54,2025-07-03 08:12:28.083100,2025-07-03 08:30:29,2025-07-03 08:42:58.300,39.07166666666667,18.015281666666667,16,4
6,delivered,2025-07-03 08:03:46,2025-07-03 08:20:03.686894,2025-07-03 08:35:29,2025-07-03 08:48:25.100,44.651666666666664,15.421885099999999,6,4
7,delivered,2025-07-03 08:03:16,2025-07-03 08:18:07.587183,2025-07-03 08:40:29,2025-07-03 08:56:58.000,53.7,22.356880283333332,3,4
8,delivered,2025-07-03 08:03:05,2025-07-03 08:08:32.523217,2025-07-03 08:05:29,2025-07-03 08:13:18.800,10.229999999999999,-3.0587202833333333,2,1
9,delivered,2025-07-03 08:04:36,2025-07-03 08:10:08.906867,2025-07-03 08:25:29,2025-07-03 08:37:44.900,33.14833333333333,15.33488555,12,4
10,delivered,2025-07-03 08:04:40,2025-07-03 08:14:42.179288,2025-07-03 11:20:29,2025-07-03 11:27:06.600,202.44333333333333,185.7803452,20,2
