order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size,routing_source
0,delivered,2025-07-03 08:00:07,2025-07-03 08:09:56.657590,2025-07-03 08:10:27.000000,2025-07-03 08:14:10.400,14.056666666666667,0.5057068333333333,4,1,osrm
1,delivered,2025-07-03 08:00:02,2025-07-03 08:05:54.972078,2025-07-03 08:05:54.972078,2025-07-03 08:09:15.800,9.229999999999999,0.0,1,1,osrm
2,delivered,2025-07-03 08:01:00,2025-07-03 08:18:58.906095,2025-07-03 08:18:58.906095,2025-07-03 08:11:35.500,10.591666666666667,0.0,3,1,osrm
3,delivered,2025-07-03 08:02:54,2025-07-03 08:15:19.766922,2025-07-03 08:15:19.766922,2025-07-03 08:12:33.800,9.663333333333332,0.0,5,1,osrm
4,delivered,2025-07-03 08:03:03,2025-07-03 08:14:14.638835,2025-07-03 08:14:14.638835,2025-07-03 08:13:50.900,10.798333333333334,0.0,8,1,osrm
5,delivered,2025-07-03 08:04:07,2025-07-03 08:18:25.003938,2025-07-03 08:18:25.003938,2025-07-03 08:12:24.900,8.298333333333334,0.0,6,1,osrm
6,delivered,2025-07-03 08:04:45,2025-07-03 08:14:37.288083,2025-07-03 08:14:37.288083,2025-07-03 08:14:22.000,9.616666666666667,0.0,2,1,osrm
7,delivered,2025-07-03 08:04:15,2025-07-03 08:17:05.093907,2025-07-03 08:17:05.093907,2025-07-03 08:14:17.600,10.043333333333333,0.0,7,1,osrm
8,delivered,2025-07-03 08:05:38,2025-07-03 08:17:19.095453,2025-07-03 08:17:19.095453,2025-07-03 08:21:05.700,15.461666666666668,0.0,10,1,osrm
9,delivered,2025-07-03 08:05:53,2025-07-03 08:13:54.071830,2025-07-03 08:15:27.000000,2025-07-03 08:19:12.600,13.326666666666666,1.5488028333333332,11,1,osrm
10,delivered,2025-07-03 08:07:37,2025-07-03 08:16:52.773378,2025-07-03 08:16:52.773378,2025-07-03 08:19:01.700,11.411666666666667,0.0,15,1,osrm
11,delivered,2025-07-03 08:07:47,2025-07-03 08:19:58.343232,2025-07-03 08:19:58.343232,2025-07-03 08:17:59.900,10.215,0.0,12,1,osrm
12,delivered,2025-07-03 08:08:45,2025-07-03 08:19:20.247837,2025-07-03 08:19:20.247837,2025-07-03 08:17:02.800,8.296666666666667,0.0,13,1,osrm
13,delivered,2025-07-03 08:08:56,2025-07-03 08:24:16.073899,2025-07-03 08:24:16.073899,2025-07-03 08:17:20.300,8.405,0.0,9,1,osrm
14,delivered,2025-07-03 08:08:57,2025-07-03 08:22:00.836149,2025-07-03 08:22:00.836149,2025-07-03 08:18:14.100,9.285,0.0,14,1,osrm
15,delivered,2025-07-03 08:09:50,2025-07-03 08:19:45.069283,2025-07-03 08:19:45.069283,2025-07-03 08:17:11.400,7.3566666666666665,0.0,16,1,osrm
16,delivered,2025-07-03 08:10:44,2025-07-03 08:20:33.115147,2025-07-03 08:20:33.115147,2025-07-03 08:21:39.600,10.926666666666668,0.0,23,1,osrm
17,delivered,2025-07-03 08:10:49,2025-07-03 08:19:08.428097,2025-07-03 08:22:03.500000,2025-07-03 08:26:01.900,15.215,2.91786505,1,1,osrm
18,delivered,2025-07-03 08:11:10,2025-07-03 08:25:13.466726,2025-07-03 08:25:13.466726,2025-07-03 08:25:21.000,14.183333333333334,0.0,26,1,osrm
19,delivered,2025-07-03 08:11:51,2025-07-03 08:24:55.536190,2025-07-03 08:24:55.536190,2025-07-03 08:24:13.200,12.370000000000001,0.0,21,1,osrm
20,delivered,2025-07-03 08:11:36,2025-07-03 08:24:45.682251,2025-07-03 08:24:45.682251,2025-07-03 08:23:56.300,12.338333333333333,0.0,20,1,osrm
21,delivered,2025-07-03 08:12:50,2025-07-03 08:26:15.604727,2025-07-03 08:26:15.604727,2025-07-03 08:23:17.000,10.45,0.0,28,1,osrm
22,delivered,2025-07-03 08:12:47,2025-07-03 08:23:54.607183,2025-07-03 08:23:54.607183,2025-07-03 08:25:28.000,12.683333333333334,0.0,25,1,osrm
23,delivered,2025-07-03 08:12:46,2025-07-03 08:20:12.226063,2025-07-03 08:21:31.800000,2025-07-03 08:26:21.700,13.595,1.3262322833333333,19,1,osrm
24,delivered,2025-07-03 08:12:16,2025-07-03 08:18:27.916256,2025-07-03 08:20:05.600000,2025-07-03 08:23:53.900,11.631666666666666,1.6280624000000001,29,1,osrm
25,delivered,2025-07-03 08:12:20,2025-07-03 08:26:40.477643,2025-07-03 08:26:40.477643,2025-07-03 08:23:10.200,10.836666666666668,0.0,18,1,osrm
26,delivered,2025-07-03 08:13:50,2025-07-03 08:23:50.553735,2025-07-03 08:23:50.553735,2025-07-03 08:25:50.100,12.001666666666667,0.0,30,1,osrm
27,delivered,2025-07-03 08:13:59,2025-07-03 08:24:00.738833,2025-07-03 08:24:00.738833,2025-07-03 08:24:21.500,10.375,0.0,27,1,osrm
28,delivered,2025-07-03 08:13:23,2025-07-03 08:21:46.542724,2025-07-03 08:21:46.542724,2025-07-03 08:21:53.800,8.513333333333334,0.0,24,1,osrm
29,delivered,2025-07-03 08:14:59,2025-07-03 08:25:26.631733,2025-07-03 08:25:26.631733,2025-07-03 08:22:39.000,7.666666666666667,0.0,22,1,osrm
30,delivered,2025-07-03 08:14:17,2025-07-03 08:25:42.672976,2025-07-03 08:25:42.672976,2025-07-03 08:22:04.400,7.79,0.0,17,1,osrm
31,delivered,2025-07-03 08:15:34,2025-07-03 08:26:25.016664,2025-07-03 08:26:25.016664,2025-07-03 08:29:01.000,13.45,0.0,33,1,osrm
32,delivered,2025-07-03 08:15:19,2025-07-03 08:20:19.000000,2025-07-03 08:23:09.000000,2025-07-03 08:25:10.300,9.854999999999999,2.8333333333333335,37,1,osrm
33,delivered,2025-07-03 08:15:30,2025-07-03 08:28:41.908487,2025-07-03 08:28:41.908487,2025-07-03 08:22:44.400,7.239999999999999,0.0,38,1,osrm
34,delivered,2025-07-03 08:17:12,2025-07-03 08:31:10.551905,2025-07-03 08:31:10.551905,2025-07-03 08:27:11.800,9.996666666666666,0.0,34,1,osrm
35,delivered,2025-07-03 08:17:43,2025-07-03 08:31:11.714297,2025-07-03 08:31:11.714297,2025-07-03 08:27:36.600,9.893333333333334,0.0,35,1,osrm
36,delivered,2025-07-03 08:17:40,2025-07-03 08:27:06.705676,2025-07-03 08:27:06.705676,2025-07-03 08:27:49.900,10.165,0.0,32,1,osrm
37,delivered,2025-07-03 08:17:29,2025-07-03 08:33:26.156090,2025-07-03 08:33:26.156090,2025-07-03 08:26:31.000,9.033333333333333,0.0,2,1,osrm
38,delivered,2025-07-03 08:17:20,2025-07-03 08:26:00.071976,2025-07-03 08:26:00.071976,2025-07-03 08:25:17.000,7.95,0.0,7,1,osrm
39,delivered,2025-07-03 08:17:50,2025-07-03 08:27:06.023645,2025-07-03 08:27:06.023645,2025-07-03 08:28:38.000,10.8,0.0,4,1,osrm
40,delivered,2025-07-03 08:17:33,2025-07-03 08:31:10.296222,2025-07-03 08:31:10.296222,2025-07-03 08:27:11.800,9.646666666666667,0.0,8,1,osrm
41,delivered,2025-07-03 08:17:44,2025-07-03 08:29:47.475296,2025-07-03 08:29:47.475296,2025-07-03 08:26:46.800,9.046666666666665,0.0,3,1,osrm
42,delivered,2025-07-03 08:18:49,2025-07-03 08:33:11.849784,2025-07-03 08:33:11.849784,2025-07-03 08:27:01.900,8.215,0.0,39,1,osrm
43,delivered,2025-07-03 08:19:02,2025-07-03 08:31:46.530800,2025-07-03 08:31:46.530800,2025-07-03 08:29:13.500,10.191666666666666,0.0,31,1,osrm
44,delivered,2025-07-03 08:19:07,2025-07-03 08:31:30.930488,2025-07-03 08:31:30.930488,2025-07-03 08:28:32.000,9.416666666666666,0.0,36,1,osrm
45,delivered,2025-07-03 08:19:07,2025-07-03 08:30:07.159873,2025-07-03 08:30:07.159873,2025-07-03 08:30:06.300,10.988333333333333,0.0,6,1,osrm
46,delivered,2025-07-03 08:19:00,2025-07-03 08:32:52.959692,2025-07-03 08:32:52.959692,2025-07-03 08:26:49.800,7.83,0.0,5,1,osrm
47,delivered,2025-07-03 08:20:20,2025-07-03 08:35:17.160053,2025-07-03 08:35:17.160053,2025-07-03 08:33:19.000,12.983333333333333,0.0,42,1,osrm
48,delivered,2025-07-03 08:20:23,2025-07-03 08:32:09.916719,2025-07-03 08:32:09.916719,2025-07-03 08:34:40.800,14.296666666666665,0.0,11,1,osrm
49,delivered,2025-07-03 08:22:36,2025-07-03 08:33:35.287481,2025-07-03 08:33:35.287481,2025-07-03 08:36:58.100,14.368333333333334,0.0,13,1,osrm
50,delivered,2025-07-03 08:22:52,2025-07-03 08:42:02.768381,2025-07-03 08:42:02.768381,2025-07-03 08:31:33.600,8.693333333333333,0.0,9,1,osrm
51,delivered,2025-07-03 08:22:54,2025-07-03 08:35:02.289556,2025-07-03 08:35:02.289556,2025-07-03 08:33:40.200,10.770000000000001,0.0,40,1,osrm
52,delivered,2025-07-03 08:23:14,2025-07-03 08:42:01.128807,2025-07-03 08:42:01.128807,2025-07-03 08:30:17.600,7.0600000000000005,0.0,16,1,osrm
53,delivered,2025-07-03 08:24:26,2025-07-03 08:37:43.343524,2025-07-03 08:37:43.343524,2025-07-03 08:33:10.400,8.74,0.0,41,1,osrm
54,delivered,2025-07-03 08:24:58,2025-07-03 08:34:13.865440,2025-07-03 08:34:13.865440,2025-07-03 08:33:26.000,8.466666666666667,0.0,12,1,osrm
55,delivered,2025-07-03 08:24:02,2025-07-03 08:34:01.342786,2025-07-03 08:34:01.342786,2025-07-03 08:32:52.700,8.845,0.0,15,1,osrm
56,delivered,2025-07-03 08:25:37,2025-07-03 08:36:49.523396,2025-07-03 08:36:49.523396,2025-07-03 08:39:00.700,13.395000000000001,0.0,50,1,osrm
57,delivered,2025-07-03 08:25:35,2025-07-03 08:35:23.275369,2025-07-03 08:35:23.275369,2025-07-03 08:37:52.500,12.291666666666666,0.0,20,1,osrm
58,delivered,2025-07-03 08:25:37,2025-07-03 08:39:41.314126,2025-07-03 08:39:41.314126,2025-07-03 08:40:55.700,15.311666666666667,0.0,24,1,osrm
59,delivered,2025-07-03 08:25:55,2025-07-03 08:36:56.524215,2025-07-03 08:36:56.524215,2025-07-03 08:33:01.900,7.114999999999999,0.0,46,1,osrm
60,delivered,2025-07-03 08:25:23,2025-07-03 08:33:53.262022,2025-07-03 08:35:20.500000,2025-07-03 08:40:16.800,14.896666666666667,1.4539663,43,1,osrm
61,delivered,2025-07-03 08:26:55,2025-07-03 08:40:58.663108,2025-07-03 08:40:58.663108,2025-07-03 08:39:21.100,12.435,0.0,44,1,osrm
62,delivered,2025-07-03 08:26:04,2025-07-03 08:44:48.185021,2025-07-03 08:44:48.185021,2025-07-03 08:38:30.200,12.436666666666667,0.0,27,1,osrm
63,delivered,2025-07-03 08:26:43,2025-07-03 08:34:21.938238,2025-07-03 08:34:21.938238,2025-07-03 08:35:00.300,8.288333333333334,0.0,14,1,osrm
64,delivered,2025-07-03 08:27:02,2025-07-03 08:37:03.214114,2025-07-03 08:37:03.214114,2025-07-03 08:35:44.500,8.708333333333334,0.0,17,1,osrm
65,delivered,2025-07-03 08:28:22,2025-07-03 08:40:39.631376,2025-07-03 08:40:39.631376,2025-07-03 08:36:58.100,8.601666666666667,0.0,22,1,osrm
66,delivered,2025-07-03 08:28:39,2025-07-03 08:41:49.938597,2025-07-03 08:41:49.938597,2025-07-03 08:37:24.000,8.75,0.0,28,1,osrm
67,delivered,2025-07-03 08:28:54,2025-07-03 08:43:13.371409,2025-07-03 08:43:13.371409,2025-07-03 08:33:10.700,4.278333333333333,0.0,10,1,osrm
68,delivered,2025-07-03 08:28:01,2025-07-03 08:40:27.897483,2025-07-03 08:40:27.897483,2025-07-03 08:42:12.400,14.19,0.0,51,1,osrm
69,delivered,2025-07-03 08:28:52,2025-07-03 08:37:28.077746,2025-07-03 08:37:28.077746,2025-07-03 08:38:55.400,10.056666666666667,0.0,45,1,osrm
70,delivered,2025-07-03 08:28:01,2025-07-03 08:44:25.570956,2025-07-03 08:44:25.570956,2025-07-03 08:37:00.800,8.996666666666666,0.0,47,1,osrm
71,delivered,2025-07-03 08:29:11,2025-07-03 08:34:11.000000,2025-07-03 08:35:05.600000,2025-07-03 08:39:04.700,9.895000000000001,0.91,49,1,osrm
72,delivered,2025-07-03 08:29:47,2025-07-03 08:46:43.292666,2025-07-03 08:46:43.292666,2025-07-03 08:37:32.200,7.753333333333333,0.0,18,1,osrm
73,delivered,2025-07-03 08:29:26,2025-07-03 08:40:41.757440,2025-07-03 08:40:41.757440,2025-07-03 08:39:12.300,9.771666666666667,0.0,23,1,osrm
74,delivered,2025-07-03 08:29:05,2025-07-03 08:40:52.159008,2025-07-03 08:40:52.159008,2025-07-03 08:34:29.300,5.405,0.0,29,1,osrm
75,delivered,2025-07-03 08:29:36,2025-07-03 08:39:17.072455,2025-07-03 08:39:17.072455,2025-07-03 08:36:23.400,6.79,0.0,38,1,osrm
76,delivered,2025-07-03 08:29:01,2025-07-03 08:41:22.237462,2025-07-03 08:41:22.237462,2025-07-03 08:38:43.300,9.705,0.0,48,1,osrm
77,delivered,2025-07-03 08:30:53,2025-07-03 08:44:32.160966,2025-07-03 08:44:32.160966,2025-07-03 08:46:25.200,15.536666666666667,0.0,1,1,osrm
78,delivered,2025-07-03 08:30:26,2025-07-03 08:40:07.550275,2025-07-03 08:40:07.550275,2025-07-03 08:38:38.700,8.211666666666666,0.0,7,1,osrm
79,delivered,2025-07-03 08:31:10,2025-07-03 08:38:51.032921,2025-07-03 08:38:51.032921,2025-07-03 08:42:34.800,11.413333333333332,0.0,19,1,osrm
80,delivered,2025-07-03 08:31:41,2025-07-03 08:46:01.452224,2025-07-03 08:46:01.452224,2025-07-03 08:44:58.300,13.288333333333332,0.0,34,1,osrm
81,delivered,2025-07-03 08:31:02,2025-07-03 08:44:23.053680,2025-07-03 08:44:23.053680,2025-07-03 08:41:25.200,10.386666666666667,0.0,4,1,osrm
82,delivered,2025-07-03 08:32:52,2025-07-03 08:45:01.776549,2025-07-03 08:45:01.776549,2025-07-03 08:44:45.600,11.893333333333334,0.0,35,1,osrm
83,delivered,2025-07-03 08:32:04,2025-07-03 08:40:19.594994,2025-07-03 08:40:19.594994,2025-07-03 08:38:46.300,6.705,0.0,21,1,osrm
84,delivered,2025-07-03 08:32:35,2025-07-03 08:43:19.135096,2025-07-03 08:43:19.135096,2025-07-03 08:44:55.500,12.341666666666667,0.0,3,1,osrm
85,delivered,2025-07-03 08:33:47,2025-07-03 08:53:43.876507,2025-07-03 08:53:43.876507,2025-07-03 08:40:23.900,6.614999999999999,0.0,26,1,osrm
86,delivered,2025-07-03 08:33:32,2025-07-03 08:52:53.389039,2025-07-03 08:52:53.389039,2025-07-03 08:43:05.900,9.565,0.0,32,1,osrm
87,delivered,2025-07-03 08:33:57,2025-07-03 08:49:12.257826,2025-07-03 08:49:12.257826,2025-07-03 08:43:21.700,9.411666666666667,0.0,33,1,osrm
88,delivered,2025-07-03 08:34:40,2025-07-03 08:50:10.941485,2025-07-03 08:50:10.941485,2025-07-03 08:41:59.800,7.33,0.0,36,1,osrm
89,delivered,2025-07-03 08:34:16,2025-07-03 08:48:55.590189,2025-07-03 08:48:55.590189,2025-07-03 08:40:21.800,6.096666666666667,0.0,31,1,osrm
90,delivered,2025-07-03 08:35:34,2025-07-03 08:49:03.275789,2025-07-03 08:49:03.275789,2025-07-03 08:47:43.200,12.153333333333334,0.0,37,1,osrm
