order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size,routing_source
0,delivered,2025-07-03 08:00:59,2025-07-03 08:06:04.793462,2025-07-03 08:37:12.086900,2025-07-03 08:42:24.100,41.41833333333333,31.1215573,1.0,4,osrm
1,delivered,2025-07-03 08:00:14,2025-07-03 08:13:38.675750,2025-07-03 08:38:46.999983,2025-07-03 08:36:03.800,35.830000000000005,25.138737216666666,13.0,4,osrm
2,delivered,2025-07-03 08:00:15,2025-07-03 08:13:29.868723,2025-07-03 08:20:17.000000,2025-07-03 08:23:32.200,23.28666666666667,6.785521283333334,11.0,1,osrm
3,delivered,2025-07-03 08:00:58,2025-07-03 08:10:35.806086,2025-07-03 08:38:53.277045,2025-07-03 08:41:42.000,40.733333333333334,28.29118265,3.0,4,osrm
4,delivered,2025-07-03 08:00:09,2025-07-03 08:14:03.027232,2025-07-03 08:34:54.149308,2025-07-03 08:37:10.100,37.01833333333333,20.852034600000003,18.0,4,osrm
5,delivered,2025-07-03 08:01:02,2025-07-03 08:14:39.070698,2025-07-03 08:15:53.700000,2025-07-03 08:19:47.100,18.751666666666665,1.2438217,16.0,1,osrm
6,delivered,2025-07-03 08:01:47,2025-07-03 08:15:03.142374,2025-07-03 08:32:10.379023,2025-07-03 08:36:25.900,34.64833333333333,17.120610816666666,14.0,4,osrm
7,delivered,2025-07-03 08:01:53,2025-07-03 08:14:50.301678,2025-07-03 08:34:54.149308,2025-07-03 08:44:51.000,42.96666666666667,20.064127166666665,11.0,4,osrm
8,delivered,2025-07-03 08:02:05,2025-07-03 08:16:58.073655,2025-07-03 08:19:29.100000,2025-07-03 08:20:50.900,18.765,2.51710575,5.0,1,osrm
9,delivered,2025-07-03 08:03:57,2025-07-03 08:14:27.679399,2025-07-03 08:36:19.824585,2025-07-03 08:44:28.200,40.519999999999996,21.869086433333333,17.0,4,osrm
