Base_Scenario,Metric,n_seeds,Mean_FCFS_avg,Mean_FCFS_std,Mean_RH_avg,Mean_RH_std,Median_FCFS_avg,Median_RH_avg,Rank_Biserial_r_avg,Rank_Biserial_r_std,All_Significant_BH
S1 – Baja (18:1),Bundle Size,7,1.0,0.0,2.746,0.092,1.0,3.143,0.7108,0.0185,Yes
S1 – Baja (18:1),CTD Overage (min),7,0.0,0.0,2.419,0.552,0.0,0.0,0.2396,0.0279,Yes
S1 – Baja (18:1),Click-to-Door (min),7,10.095,0.394,32.326,1.019,10.011,29.877,0.9854,0.0042,Yes
S1 – Baja (18:1),Ready-to-Door (min),7,-1.89,0.392,20.342,0.952,-1.908,17.263,0.9733,0.005,Yes
S1 – Baja (18:1),Ready-to-Pickup (min),7,0.145,0.041,15.416,0.666,0.0,12.755,0.9003,0.0068,Yes
S1 – Baja (18:1),SLA Compliance (≤40 min),7,1.0,0.0,0.76,0.028,1.0,1.0,-0.2396,0.0279,Yes
S2 – Moderada (26:1),Bundle Size,7,1.0,0.0,3.097,0.064,1.0,4.0,0.8239,0.0131,Yes
S2 – Moderada (26:1),CTD Overage (min),7,2.845,1.209,5.518,1.471,0.0,0.0,0.2147,0.037,Yes
S2 – Moderada (26:1),Click-to-Door (min),7,16.679,2.026,36.265,1.863,10.768,31.862,0.7902,0.0429,Yes
S2 – Moderada (26:1),Ready-to-Door (min),7,4.694,1.992,24.281,1.835,-0.739,19.85,0.781,0.0438,Yes
S2 – Moderada (26:1),Ready-to-Pickup (min),7,5.728,1.748,18.866,1.571,0.0,14.265,0.6769,0.046,Yes
S2 – Moderada (26:1),SLA Compliance (≤40 min),7,0.916,0.024,0.69,0.025,1.0,1.0,-0.2271,0.0333,Yes
S3 – Media (35:1),Bundle Size,7,1.0,0.0,3.341,0.061,1.0,4.0,0.9059,0.0162,Yes
S3 – Media (35:1),CTD Overage (min),7,17.235,2.939,12.551,2.093,0.0,0.0,0.1002,0.0335,Yes
S3 – Media (35:1),Click-to-Door (min),7,35.793,3.718,44.104,2.46,11.973,34.381,0.5139,0.0429,Yes
S3 – Media (35:1),Ready-to-Door (min),7,23.808,3.682,32.12,2.439,0.859,22.487,0.5052,0.0435,Yes
S3 – Media (35:1),Ready-to-Pickup (min),7,23.909,3.412,26.201,2.34,0.0,16.502,0.4034,0.0424,Yes
S3 – Media (35:1),SLA Compliance (≤40 min),7,0.762,0.023,0.61,0.023,1.0,1.0,-0.1521,0.0263,Yes
S4 – Alta (52:1),Bundle Size,7,1.0,0.0,3.597,0.051,1.0,4.0,0.9588,0.0124,Yes
S4 – Alta (52:1),CTD Overage (min),7,52.058,3.725,29.561,4.951,0.0,0.409,-0.0001,0.0268,No
S4 – Alta (52:1),Click-to-Door (min),7,75.414,3.904,62.403,5.3,15.472,39.523,0.2639,0.0301,Yes
S4 – Alta (52:1),Ready-to-Door (min),7,63.442,3.884,50.425,5.284,4.95,27.7,0.2569,0.0299,Yes
S4 – Alta (52:1),Ready-to-Pickup (min),7,62.553,3.801,44.029,4.989,1.613,21.425,0.168,0.0269,Yes
S4 – Alta (52:1),SLA Compliance (≤40 min),7,0.611,0.017,0.509,0.028,1.0,0.571,-0.1027,0.0271,Yes
