Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),FCFS P50 CTD (min),FCFS P90 CTD (min),FCFS P95 CTD (min),FCFS Avg RTP (min),FCFS P90 RTP (min),FCFS Avg RTD (min),FCFS P90 RTD (min),FCFS % Undelivered,FCFS SLA Compliance (%),FCFS Avg Bundle Size,FCFS % Multi-Bundle,FCFS Total Distance (km),FCFS Dist/Order (km),FCFS Orders/Courier/Hr,FCFS Bundles/Hr,FCFS Utilization (%),FCFS Total Compensation ($),FCFS Cost/Order ($),FCFS Frac. Min Comp,FCFS CTD Overage (min),RH Avg CTD (min),RH P50 CTD (min),RH P90 CTD (min),RH P95 CTD (min),RH Avg RTP (min),RH P90 RTP (min),RH Avg RTD (min),RH P90 RTD (min),RH % Undelivered,RH SLA Compliance (%),RH Avg Bundle Size,RH % Multi-Bundle,RH Total Distance (km),RH Dist/Order (km),RH Orders/Courier/Hr,RH Bundles/Hr,RH Utilization (%),RH Total Compensation ($),RH Cost/Order ($),RH Frac. Min Comp,RH CTD Overage (min),Δ% Avg CTD (min),Δ% P50 CTD (min),Δ% P90 CTD (min),Δ% P95 CTD (min),Δ% Avg RTP (min),Δ% P90 RTP (min),Δ% Avg RTD (min),Δ% P90 RTD (min),Δ% % Undelivered,Δ% SLA Compliance (%),Δ% Avg Bundle Size,Δ% % Multi-Bundle,Δ% Total Distance (km),Δ% Dist/Order (km),Δ% Orders/Courier/Hr,Δ% Bundles/Hr,Δ% Utilization (%),Δ% Total Compensation ($),Δ% Cost/Order ($),Δ% Frac. Min Comp,Δ% CTD Overage (min),FCFS Time (s),RH Time (s)
S1 – Baja (18:1),1038,58,17.9,9.59,9.48,12.13,12.91,0.08,0.0,-2.49,2.08,0.0,100.0,1.0,0.0,4362.07,4.2,1.44,1.44,16.97,11639.29,11.21,0.59,0.0,32.06,29.72,48.78,55.31,14.99,30.52,19.98,37.01,0.0,76.88,2.79,71.68,8674.35,2.93,4.09,2.01,35.35,29600.0,10.0,0.0,2.25,234.31,213.5,302.14,328.43,18637.5,0.0,902.41,1679.33,0.0,-23.12,179.0,0.0,98.86,-30.24,184.03,39.58,108.31,154.31,-10.79,-100.0,0.0,52.2,2866.0
S2 – Moderada (26:1),1038,40,25.9,17.07,10.36,30.61,70.08,6.37,14.75,4.99,17.47,0.0,91.04,1.0,0.0,4769.8,4.6,2.08,2.08,26.57,10380.0,10.0,0.0,3.55,35.02,30.17,56.51,65.24,17.82,38.06,22.94,44.38,0.0,72.74,3.03,80.64,7135.01,2.78,5.15,2.3,42.24,25680.0,10.0,0.0,4.88,105.16,191.22,84.61,-6.91,179.75,158.03,359.72,154.04,0.0,-20.1,203.0,0.0,49.59,-39.57,147.6,10.58,58.98,147.4,0.0,0.0,37.46,31.0,1255.8
S3 – Media (35:1),1038,30,34.6,36.07,11.46,120.69,157.64,24.37,103.32,23.99,106.48,0.0,76.69,1.0,0.0,5074.29,4.89,2.77,2.77,37.4,10380.0,10.0,0.0,17.91,41.76,32.54,66.69,114.63,23.84,47.65,29.68,54.71,0.0,64.07,3.32,89.21,6246.42,2.52,6.62,2.47,49.31,24750.0,10.0,0.0,10.71,15.77,183.94,-44.74,-27.28,-2.17,-53.88,23.72,-48.62,0.0,-16.46,232.0,0.0,23.1,-48.47,138.99,-10.83,31.84,138.44,0.0,0.0,-40.2,34.5,1055.3
S4 – Alta (52:1),1038,20,51.9,76.13,16.37,223.73,294.88,63.17,206.93,64.0,210.18,13.29,60.78,1.0,0.0,4844.01,5.38,3.61,3.61,52.68,9000.0,10.0,0.0,52.65,59.93,36.99,146.08,219.53,41.61,126.78,47.87,135.61,1.54,55.19,3.6,95.5,4724.71,2.25,8.4,2.65,56.42,20960.0,10.0,0.0,27.57,-21.28,125.96,-34.71,-25.55,-34.13,-38.73,-25.2,-35.48,-88.41,-9.2,260.0,0.0,-2.46,-58.18,132.69,-26.59,7.1,132.89,0.0,0.0,-47.64,37.0,1133.2
S1 – Baja (18:1),1042,58,18.0,10.46,10.23,14.03,15.03,0.18,0.03,-1.42,3.71,0.0,100.0,1.0,0.0,4849.07,4.65,1.45,1.45,19.07,11980.63,11.5,0.53,0.0,31.26,29.48,46.96,52.1,14.77,29.92,19.38,34.88,0.0,80.33,2.65,70.35,9452.45,3.21,4.09,2.13,38.71,29470.0,10.0,0.0,1.67,198.85,188.17,234.71,246.64,8105.56,99633.33,1464.79,840.16,0.0,-19.67,165.0,0.0,94.93,-30.97,182.07,46.9,102.99,145.98,-13.04,-100.0,0.0,51.6,3306.5
S2 – Moderada (26:1),1042,41,25.4,16.99,10.91,34.31,64.44,5.83,17.53,5.11,22.19,0.0,91.94,1.0,0.0,5168.55,4.96,2.05,2.05,28.34,10442.3,10.02,0.05,2.89,34.22,31.48,52.76,60.34,17.08,35.54,22.33,41.2,0.0,71.31,3.07,83.21,7571.25,2.83,5.26,2.24,44.28,26770.0,10.0,0.0,3.77,101.41,188.54,53.77,-6.36,192.97,102.74,336.99,85.67,0.0,-22.44,207.0,0.0,46.49,-42.94,156.59,9.27,56.25,156.36,-0.2,-100.0,30.45,32.0,1522.0
S3 – Media (35:1),1042,30,34.7,37.62,11.94,125.51,162.87,25.62,111.27,25.74,114.78,0.0,76.3,1.0,0.0,5472.09,5.25,2.8,2.8,40.61,10420.0,10.0,0.0,19.04,42.11,34.22,63.0,117.56,24.21,44.05,30.23,51.81,0.0,62.67,3.38,92.13,6227.88,2.51,6.67,2.38,50.01,24840.0,10.0,0.0,10.57,11.94,186.6,-49.8,-27.82,-5.5,-60.41,17.44,-54.86,0.0,-17.86,238.0,0.0,13.81,-52.19,138.21,-15.0,23.15,138.39,0.0,0.0,-44.49,33.5,1377.7
S4 – Alta (52:1),1042,21,49.6,80.65,14.51,280.13,329.84,67.94,268.92,68.78,272.45,11.42,62.08,1.0,0.0,5124.56,5.55,3.54,3.54,53.52,9230.0,10.0,0.0,57.95,68.24,40.97,170.3,279.4,50.0,153.05,56.36,156.65,5.18,47.98,3.64,96.76,4863.49,2.23,8.37,2.53,56.7,21800.0,10.0,0.0,34.97,-15.39,182.36,-39.21,-15.29,-26.41,-43.09,-18.06,-42.5,-54.64,-22.71,264.0,0.0,-5.09,-59.82,136.44,-28.53,5.94,136.19,0.0,0.0,-39.65,36.5,1990.0
S1 – Baja (18:1),1014,57,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
S2 – Moderada (26:1),1014,39,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
