Scenario,Orders,Couriers,Ratio,FCFS Avg CTD (min),RH Avg CTD (min),Δ% Avg CTD (min),FCFS Cost/Order ($),RH Cost/Order ($),Δ% Cost/Order ($),FCFS Orders/Courier/Hr,RH Orders/Courier/Hr,Δ% Orders/Courier/Hr,FCFS Utilization (%),RH Utilization (%),Δ% Utilization (%),FCFS SLA Compliance (%),RH SLA Compliance (%),Δ% SLA Compliance (%),FCFS Dist/Order (km),RH Dist/Order (km),Δ% Dist/Order (km)
S1 – Baja (18:1),1038,58,17.9,9.59,32.06,234.31,11.21,10.0,-10.79,1.44,4.09,184.03,16.97,35.35,108.31,100.0,76.88,-23.12,4.2,2.93,-30.24
S2 – Moderada (26:1),1038,40,25.9,17.07,35.02,105.16,10.0,10.0,0.0,2.08,5.15,147.6,26.57,42.24,58.98,91.04,72.74,-20.1,4.6,2.78,-39.57
S3 – Media (35:1),1038,30,34.6,36.07,41.76,15.77,10.0,10.0,0.0,2.77,6.62,138.99,37.4,49.31,31.84,76.69,64.07,-16.46,4.89,2.52,-48.47
S4 – Alta (52:1),1038,20,51.9,76.13,59.93,-21.28,10.0,10.0,0.0,3.61,8.4,132.69,52.68,56.42,7.1,60.78,55.19,-9.2,5.38,2.25,-58.18
S1 – Baja (18:1),1042,58,18.0,10.46,31.26,198.85,11.5,10.0,-13.04,1.45,4.09,182.07,19.07,38.71,102.99,100.0,80.33,-19.67,4.65,3.21,-30.97
S2 – Moderada (26:1),1042,41,25.4,16.99,34.22,101.41,10.02,10.0,-0.2,2.05,5.26,156.59,28.34,44.28,56.25,91.94,71.31,-22.44,4.96,2.83,-42.94
S3 – Media (35:1),1042,30,34.7,37.62,42.11,11.94,10.0,10.0,0.0,2.8,6.67,138.21,40.61,50.01,23.15,76.3,62.67,-17.86,5.25,2.51,-52.19
S4 – Alta (52:1),1042,21,49.6,80.65,68.24,-15.39,10.0,10.0,0.0,3.54,8.37,136.44,53.52,56.7,5.94,62.08,47.98,-22.71,5.55,2.23,-59.82
S1 – Baja (18:1),1014,57,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1),1014,39,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1),1014,29,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S4 – Alta (52:1),1014,20,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1),1012,57,17.8,10.26,33.06,222.22,11.55,10.0,-13.42,1.43,4.04,182.52,18.27,36.34,98.91,100.0,75.1,-24.9,4.66,3.07,-34.12
S2 – Moderada (26:1),1012,39,25.9,19.63,37.84,92.77,10.0,10.0,0.0,2.08,5.36,157.69,28.29,44.03,55.64,88.44,68.18,-22.91,4.97,2.8,-43.66
S3 – Media (35:1),1012,29,34.9,39.66,45.66,15.13,10.0,10.0,0.0,2.8,6.54,133.57,39.29,50.34,28.12,74.41,60.97,-18.06,5.14,2.6,-49.42
S4 – Alta (52:1),1012,20,50.6,74.89,56.42,-24.66,10.0,10.0,0.0,3.57,8.1,126.89,53.05,56.0,5.56,62.25,53.45,-14.14,5.51,2.32,-57.89
S1 – Baja (18:1),1023,57,17.9,10.59,34.06,221.62,11.43,10.0,-12.51,1.44,4.12,186.11,19.26,39.03,102.65,100.0,71.26,-28.74,4.8,3.21,-33.12
S2 – Moderada (26:1),1023,40,25.6,18.8,37.27,98.24,10.0,10.0,0.0,2.05,5.26,156.59,28.57,45.54,59.4,88.66,65.88,-25.69,5.01,2.93,-41.52
S3 – Media (35:1),1023,30,34.1,39.93,45.45,13.82,10.0,10.0,0.0,2.74,6.62,141.61,39.75,51.14,28.65,72.43,58.85,-18.75,5.31,2.6,-51.04
S4 – Alta (52:1),1023,20,51.1,79.73,67.99,-14.72,10.0,10.0,0.0,3.55,8.32,134.37,54.59,57.73,5.75,57.81,47.61,-17.64,5.75,2.33,-59.48
S1 – Baja (18:1),1035,58,17.8,9.65,31.57,227.15,11.51,10.0,-13.12,1.43,4.02,181.12,16.96,36.81,117.04,100.0,77.68,-22.32,4.26,3.15,-26.06
S2 – Moderada (26:1),1035,40,25.9,14.68,34.79,136.99,10.03,10.0,-0.3,2.08,5.23,151.44,25.96,43.03,65.76,93.62,69.76,-25.49,4.52,2.8,-38.05
S3 – Media (35:1),1035,30,34.5,29.63,41.5,40.06,10.0,10.0,0.0,2.77,6.43,132.13,35.97,48.08,33.67,79.42,62.51,-21.29,4.73,2.52,-46.72
S4 – Alta (52:1),1035,20,51.8,71.02,62.31,-12.26,10.0,10.0,0.0,3.75,8.32,121.87,51.62,56.13,8.74,61.24,49.08,-19.86,5.04,2.28,-54.76
S1 – Baja (18:1),988,55,18.0,10.24,32.79,220.21,11.24,10.0,-11.03,1.43,4.16,190.91,18.07,37.35,106.7,100.0,74.9,-25.1,4.6,3.13,-31.96
S2 – Moderada (26:1),988,38,26.0,14.84,39.23,164.35,10.01,10.0,-0.1,2.07,5.32,157.0,27.36,44.6,63.01,94.33,66.09,-29.94,4.83,2.88,-40.37
S3 – Media (35:1),988,29,34.1,32.9,48.08,46.14,10.0,10.0,0.0,2.71,6.84,152.4,37.56,52.05,38.58,77.43,57.49,-25.75,5.11,2.61,-48.92
S4 – Alta (52:1),988,19,52.0,70.39,66.31,-5.8,10.0,10.0,0.0,3.62,8.33,130.11,53.53,57.53,7.47,63.05,51.58,-18.19,5.55,2.36,-57.48
S1 – Baja (18:1),1047,59,17.7,9.87,31.49,219.05,11.33,10.0,-11.74,1.42,3.94,177.46,17.36,36.32,109.22,100.0,76.12,-23.88,4.25,3.09,-27.29
