,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,Rank_Biserial_r,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_value,p_value,p_value,p_value,p_value,p_value
Metric,Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min)
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1 – Baja (18:1) (seed 2025),1.0,0.0,9.59,-2.49,0.082,1.0,2.789,2.252,32.06,19.98,14.994,0.769,0.7168,0.2312,0.9907,0.9779,0.9015,-0.2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1) (seed 2026),1.0,0.0,10.458,-1.425,0.184,1.0,2.655,1.675,31.26,19.377,14.774,0.803,0.7035,0.1967,0.9849,0.9714,0.9074,-0.1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1) (seed 2028),1.0,0.0,10.258,-1.683,0.125,1.0,2.822,2.929,33.056,21.115,16.013,0.751,0.7253,0.249,0.9877,0.9751,0.8936,-0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1) (seed 2029),1.0,0.0,10.591,-1.555,0.191,1.0,2.896,3.297,34.06,21.914,16.564,0.713,0.7302,0.2874,0.9841,0.9734,0.8952,-0.2874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1) (seed 2030),1.0,0.0,9.649,-2.261,0.122,1.0,2.665,2.089,31.571,19.66,15.092,0.777,0.6763,0.2232,0.9836,0.9762,0.9114,-0.2232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1) (seed 2031),1.0,0.0,10.244,-1.743,0.181,1.0,2.726,2.564,32.789,20.802,15.574,0.749,0.7217,0.251,0.9886,0.9762,0.8967,-0.251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1 – Baja (18:1) (seed 2032),1.0,0.0,9.872,-2.07,0.13,1.0,2.669,2.13,31.489,19.547,14.9,0.761,0.702,0.2388,0.978,0.9631,0.8962,-0.2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2025),1.0,3.548,17.075,4.995,6.366,0.91,3.031,4.877,35.024,22.944,17.821,0.727,0.8064,0.1714,0.7909,0.7805,0.6735,-0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2026),1.0,2.89,16.992,5.109,5.825,0.919,3.075,3.773,34.217,22.334,17.076,0.713,0.8321,0.1901,0.7763,0.7675,0.676,-0.2063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2028),1.0,4.641,19.629,7.688,8.339,0.884,3.173,7.08,37.839,25.898,20.414,0.682,0.8271,0.1853,0.729,0.7181,0.6108,-0.2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2029),1.0,3.801,18.803,6.657,7.377,0.887,3.158,5.739,37.267,25.121,19.319,0.659,0.8368,0.2081,0.7442,0.7346,0.6224,-0.2278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2030),1.0,1.747,14.678,2.767,4.217,0.936,3.01,4.387,34.791,22.881,17.689,0.698,0.8048,0.229,0.8224,0.8158,0.7088,-0.2386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2031),1.0,1.505,14.843,2.856,3.864,0.943,3.148,7.843,39.234,27.247,21.371,0.661,0.834,0.2773,0.8403,0.8327,0.7244,-0.2824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2032),1.0,1.781,14.731,2.789,4.106,0.936,3.084,4.927,35.481,23.539,18.374,0.687,0.8262,0.2415,0.828,0.8176,0.7221,-0.2493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3 – Media (35:1) (seed 2025),1.0,17.908,36.066,23.986,24.367,0.767,3.323,10.713,41.763,29.683,23.84,0.641,0.8921,0.0712,0.514,0.5101,0.4082,-0.1262,0.0,0.000535,0.0,0.0,0.0,0.0,0.0,0.000506,0.0,0.0,0.0,0.0
