order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size,routing_source
0,delivered,2025-07-03 08:00:29,2025-07-03 08:10:21.704666,2025-07-03 08:11:47.400000,2025-07-03 08:15:24.500,14.925,1.4282555666666668,4,1,osrm
1,delivered,2025-07-03 08:01:26,2025-07-03 08:16:06.907306,2025-07-03 08:21:04.700000,2025-07-03 08:24:50.800,23.413333333333334,4.963211566666667,42,2,osrm
2,delivered,2025-07-03 08:01:15,2025-07-03 08:10:04.710513,2025-07-03 08:10:04.710513,2025-07-03 08:13:04.900,11.831666666666667,0.0,8,1,osrm
3,delivered,2025-07-03 08:02:02,2025-07-03 08:11:25.702057,2025-07-03 08:13:54.600000,2025-07-03 08:17:30.200,15.47,2.4816323833333334,1,1,osrm
4,delivered,2025-07-03 08:02:20,2025-07-03 08:13:22.736020,2025-07-03 08:23:06.200000,2025-07-03 08:29:33.200,27.220000000000002,9.724399666666667,35,3,osrm
5,delivered,2025-07-03 08:03:54,2025-07-03 08:12:28.083100,2025-07-03 08:23:06.200000,2025-07-03 08:29:33.200,25.653333333333332,10.635281666666666,35,3,osrm
6,delivered,2025-07-03 08:03:46,2025-07-03 08:20:03.686894,2025-07-03 08:29:34.900000,2025-07-03 08:34:33.600,30.793333333333333,9.520218433333334,1,2,osrm
7,delivered,2025-07-03 08:03:16,2025-07-03 08:18:07.587183,2025-07-03 08:40:21.192132,2025-07-03 08:41:02.500,37.775,22.22674915,38,3,osrm
8,delivered,2025-07-03 08:03:05,2025-07-03 08:08:32.523217,2025-07-03 08:11:37.800000,2025-07-03 08:13:18.500,10.225,3.087946383333333,2,1,osrm
9,delivered,2025-07-03 08:04:36,2025-07-03 08:10:08.906867,2025-07-03 08:27:46.300000,2025-07-03 08:33:36.100,29.001666666666665,17.623218883333333,5,2,osrm
10,delivered,2025-07-03 08:04:40,2025-07-03 08:14:42.179288,2025-07-03 08:14:42.179288,2025-07-03 08:17:45.600,13.093333333333334,0.0,32,1,osrm
11,delivered,2025-07-03 08:04:15,2025-07-03 08:17:44.223292,2025-07-03 08:19:58.000000,2025-07-03 08:24:20.700,20.095000000000002,2.2296118000000003,38,1,osrm
12,delivered,2025-07-03 08:04:33,2025-07-03 08:18:35.282128,2025-07-03 08:25:12.100000,2025-07-03 08:29:16.100,24.71833333333333,6.6136312,24,3,osrm
13,delivered,2025-07-03 08:05:35,2025-07-03 08:21:48.414655,2025-07-03 08:28:48.100000,2025-07-03 08:34:09.900,28.581666666666667,6.9947557499999995,39,3,osrm
14,delivered,2025-07-03 08:06:20,2025-07-03 08:19:10.900620,2025-07-03 08:45:26.919945,2025-07-03 08:42:42.500,36.375,26.26698875,25,3,osrm
15,delivered,2025-07-03 08:06:51,2025-07-03 08:15:38.148338,2025-07-03 08:28:45.600000,2025-07-03 08:34:56.800,28.096666666666668,13.124194366666668,36,2,osrm
16,delivered,2025-07-03 08:06:49,2025-07-03 08:20:04.218769,2025-07-03 08:22:27.900000,2025-07-03 08:25:08.600,18.326666666666664,2.394687183333333,46,1,osrm
17,delivered,2025-07-03 08:07:10,2025-07-03 08:15:41.176144,2025-07-03 08:43:51.812084,2025-07-03 08:41:04.800,33.913333333333334,28.177265666666663,28,3,osrm
18,delivered,2025-07-03 08:07:07,2025-07-03 08:16:36.066837,2025-07-03 08:25:48.400000,2025-07-03 08:30:12.400,23.09,9.205552716666666,4,3,osrm
19,delivered,2025-07-03 08:08:25,2025-07-03 08:15:35.357350,2025-07-03 08:19:47.200000,2025-07-03 08:21:35.300,13.171666666666665,4.1973775,37,1,osrm
20,delivered,2025-07-03 08:08:32,2025-07-03 08:17:49.260636,2025-07-03 08:45:26.919945,2025-07-03 08:42:42.500,34.175,27.62765515,25,3,osrm
21,delivered,2025-07-03 08:09:31,2025-07-03 08:19:38.308140,2025-07-03 08:20:46.500000,2025-07-03 08:24:42.600,15.193333333333333,1.1365310000000002,7,1,osrm
22,delivered,2025-07-03 08:09:25,2025-07-03 08:19:41.265318,2025-07-03 08:25:12.100000,2025-07-03 08:29:16.100,19.851666666666667,5.513911366666666,24,3,osrm
23,delivered,2025-07-03 08:09:06,2025-07-03 08:26:24.541625,2025-07-03 08:45:11.500000,2025-07-03 08:51:00.700,41.91166666666666,18.78263958333333,48,4,osrm
