Base_Scenario,Metric,n_seeds,Mean_FCFS_avg,Mean_FCFS_std,Mean_RH_avg,Mean_RH_std,Median_FCFS_avg,Median_RH_avg,r_pooled_FisherZ,r_CI_low_FisherZ,r_CI_high_FisherZ,r_arithmetic_mean,All_Significant_BH
S1 – Baja (18:1),Bundle Size,7,1.0,0.0,1.77,0.074,1.0,1.0,-0.9999,-0.9999,-0.9999,-1.0,Yes
S1 – Baja (18:1),CTD Overage (min),7,0.0,0.0,0.018,0.009,0.0,0.0,-0.9999,-0.9999,-0.9999,-1.0,No
S1 – Baja (18:1),Click-to-Door (min),7,10.095,0.394,20.379,0.629,10.011,18.753,-0.9941,-0.9962,-0.991,-0.9933,Yes
S1 – Baja (18:1),Ready-to-Door (min),7,-1.89,0.392,8.395,0.578,-1.908,6.104,-0.9941,-0.9962,-0.991,-0.9933,Yes
S1 – Baja (18:1),Ready-to-Pickup (min),7,0.145,0.041,4.867,0.488,0.0,2.453,-0.9784,-0.9848,-0.9694,-0.9766,Yes
S1 – Baja (18:1),SLA Compliance (≤40 min),7,1.0,0.0,0.992,0.004,1.0,1.0,0.9999,0.9999,0.9999,1.0,Yes
S2 – Moderada (26:1),Bundle Size,7,1.0,0.0,2.28,0.067,1.0,2.0,-0.9999,-0.9999,-0.9999,-1.0,Yes
S2 – Moderada (26:1),CTD Overage (min),7,2.845,1.209,0.086,0.02,0.0,0.0,0.8575,0.7958,0.9015,0.8444,Yes
S2 – Moderada (26:1),Click-to-Door (min),7,16.679,2.026,22.737,0.551,10.768,20.733,-0.6575,-0.7179,-0.5872,-0.6498,Yes
S2 – Moderada (26:1),Ready-to-Door (min),7,4.694,1.992,10.752,0.481,-0.739,7.78,-0.6575,-0.7179,-0.5873,-0.6498,Yes
S2 – Moderada (26:1),Ready-to-Pickup (min),7,5.728,1.748,6.712,0.391,0.0,3.511,-0.5419,-0.607,-0.4696,-0.5363,Yes
S2 – Moderada (26:1),SLA Compliance (≤40 min),7,0.916,0.024,0.97,0.004,1.0,1.0,-0.5213,-0.6136,-0.4148,-0.5104,Yes
S3 – Media (35:1),Bundle Size,7,1.0,0.0,2.669,0.076,1.0,3.0,-0.9999,-0.9999,-0.9999,-1.0,Yes
S3 – Media (35:1),CTD Overage (min),7,17.235,2.939,0.831,0.27,0.0,0.0,0.8759,0.8594,0.8906,0.8745,Yes
S3 – Media (35:1),Click-to-Door (min),7,35.793,3.718,25.523,0.793,11.973,22.619,-0.1499,-0.1976,-0.1016,-0.1494,No
S3 – Media (35:1),Ready-to-Door (min),7,23.808,3.682,13.539,0.756,0.859,9.912,-0.15,-0.1976,-0.1016,-0.1494,No
S3 – Media (35:1),Ready-to-Pickup (min),7,23.909,3.412,9.119,0.462,0.0,4.913,-0.011,-0.0614,0.0395,-0.011,No
S3 – Media (35:1),SLA Compliance (≤40 min),7,0.762,0.023,0.902,0.015,1.0,1.0,-0.5347,-0.5548,-0.5141,-0.5343,Yes
S4 – Alta (52:1),Bundle Size,7,1.0,0.0,3.068,0.065,1.0,3.857,-0.9999,-0.9999,-0.9999,-1.0,Yes
S4 – Alta (52:1),CTD Overage (min),7,52.058,3.725,4.725,1.742,0.0,0.0,0.8167,0.7683,0.8559,0.8097,Yes
S4 – Alta (52:1),Click-to-Door (min),7,75.414,3.904,32.263,2.355,15.472,26.911,0.2187,0.1897,0.2472,0.2184,Yes
S4 – Alta (52:1),Ready-to-Door (min),7,63.442,3.884,20.279,2.296,4.95,14.825,0.2187,0.1897,0.2472,0.2184,Yes
S4 – Alta (52:1),Ready-to-Pickup (min),7,62.553,3.801,15.205,2.093,1.613,9.302,0.331,0.306,0.3555,0.3306,Yes
S4 – Alta (52:1),SLA Compliance (≤40 min),7,0.611,0.017,0.783,0.033,1.0,1.0,-0.4275,-0.4845,-0.3669,-0.4247,Yes
