Base_Scenario,Metric,n_seeds,Mean_FCFS_avg,Mean_FCFS_std,Mean_RH_avg,Mean_RH_std,Median_FCFS_avg,Median_RH_avg,r_pooled_FisherZ,r_CI_low_FisherZ,r_CI_high_FisherZ,r_arithmetic_mean,All_Significant_BH
S1 – Baja (18:1),Distance/Order (km),7,4.52,0.253,4.934,0.26,4.493,4.764,-0.4032,-0.5063,-0.2887,-0.3947,No
S1 – Baja (18:1),Orders/Courier/Hr,10,1.004,0.693,1.048,0.723,0.991,1.007,-0.0776,-0.1147,-0.0403,-0.0774,No
S1 – Baja (18:1),Utilization (%),10,12.595,8.726,14.66,10.156,12.55,14.631,-0.3989,-0.5472,-0.2263,-0.3738,No
S2 – Moderada (26:1),Distance/Order (km),7,4.791,0.225,4.359,0.258,4.772,4.25,0.6386,0.4889,0.7518,0.6123,Yes
S2 – Moderada (26:1),Orders/Courier/Hr,10,1.446,0.998,1.501,1.036,1.44,1.476,-0.1078,-0.1594,-0.0555,-0.1071,No
S2 – Moderada (26:1),Utilization (%),10,19.138,13.236,18.796,13.01,19.2,18.719,0.093,-0.0151,0.199,0.0886,No
S3 – Media (35:1),Distance/Order (km),7,5.047,0.218,3.912,0.187,5.049,3.806,0.9882,0.935,0.9979,0.9657,Yes
S3 – Media (35:1),Orders/Courier/Hr,10,1.94,1.339,2.026,1.399,1.949,2.053,-0.1826,-0.264,-0.0986,-0.1798,No
S3 – Media (35:1),Utilization (%),10,26.864,18.583,22.882,15.827,26.85,22.828,0.9748,0.7157,0.998,0.6706,No
S4 – Alta (52:1),Distance/Order (km),7,5.418,0.256,3.271,0.097,5.419,3.257,0.9999,0.9999,0.9999,1.0,Yes
S4 – Alta (52:1),Orders/Courier/Hr,10,2.533,1.749,2.985,2.061,2.535,3.0,-0.8731,-0.9629,-0.6096,-0.6573,No
S4 – Alta (52:1),Utilization (%),10,37.098,25.614,28.524,19.7,37.078,28.706,0.9981,0.9629,0.9999,0.7,No
