,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_FCFS,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Mean_RH,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,Rank_Biserial_r_paired,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_adjusted_BH,p_value,p_value,p_value,p_value,p_value,p_value
Metric,Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min),Bundle Size,CTD Overage (min),Click-to-Door (min),Ready-to-Door (min),Ready-to-Pickup (min),SLA Compliance (≤40 min)
Scenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1 – Baja (18:1) (seed 2025),1.0,0.0,9.59,-2.49,0.082,1.0,1.769,0.014,19.857,7.777,4.381,0.993,-1.0,-1.0,-0.9975,-0.9975,-0.9913,1.0,0.0,0.019218,0.0,0.0,0.0,0.00895,0.0,0.01796,0.0,0.0,0.0,0.008044
S1 – Baja (18:1) (seed 2026),1.0,0.0,10.458,-1.425,0.184,1.0,1.797,0.015,20.268,8.385,4.888,0.992,-1.0,-1.0,-0.9885,-0.9885,-0.9676,1.0,0.0,0.012702,0.0,0.0,0.0,0.005185,0.0,0.011719,0.0,0.0,0.0,0.004599
S1 – Baja (18:1) (seed 2028),1.0,0.0,10.258,-1.683,0.125,1.0,1.844,0.014,20.609,8.669,5.19,0.995,-1.0,-1.0,-0.996,-0.996,-0.9813,1.0,0.0,0.045554,0.0,0.0,0.0,0.02676,0.0,0.043114,0.0,0.0,0.0,0.025167
S1 – Baja (18:1) (seed 2029),1.0,0.0,10.591,-1.555,0.191,1.0,1.879,0.038,21.653,9.507,5.797,0.983,-1.0,-1.0,-0.9941,-0.9941,-0.9806,1.0,0.0,0.000344,0.0,0.0,0.0,4.3e-05,0.0,0.000293,0.0,0.0,0.0,3.5e-05
S1 – Baja (18:1) (seed 2030),1.0,0.0,9.649,-2.261,0.122,1.0,1.69,0.016,19.828,7.918,4.571,0.992,-1.0,-1.0,-0.9962,-0.9962,-0.979,1.0,0.0,0.012702,0.0,0.0,0.0,0.005185,0.0,0.011719,0.0,0.0,0.0,0.004598
S1 – Baja (18:1) (seed 2031),1.0,0.0,10.244,-1.743,0.181,1.0,1.7,0.015,20.382,8.395,4.71,0.993,-1.0,-1.0,-0.9893,-0.9893,-0.9685,1.0,0.0,0.019218,0.0,0.0,0.0,0.00895,0.0,0.01796,0.0,0.0,0.0,0.008038
S1 – Baja (18:1) (seed 2032),1.0,0.0,9.872,-2.07,0.13,1.0,1.708,0.013,20.053,8.112,4.533,0.996,-1.0,-1.0,-0.9913,-0.9913,-0.9677,1.0,0.0,0.070841,0.0,0.0,0.0,0.047559,0.0,0.067889,0.0,0.0,0.0,0.045294
S2 – Moderada (26:1) (seed 2025),1.0,3.548,17.075,4.995,6.366,0.91,2.267,0.076,22.593,10.513,6.449,0.975,-1.0,0.8841,-0.6524,-0.6525,-0.5437,-0.6147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2026),1.0,2.89,16.992,5.109,5.825,0.919,2.247,0.058,21.963,10.08,6.343,0.972,-1.0,0.8808,-0.6074,-0.6074,-0.5032,-0.514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2028),1.0,4.641,19.629,7.688,8.339,0.884,2.399,0.081,22.872,10.931,6.836,0.973,-1.0,0.9401,-0.5213,-0.5213,-0.3922,-0.7031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2029),1.0,3.801,18.803,6.657,7.377,0.887,2.339,0.107,23.738,11.592,7.481,0.963,-1.0,0.8776,-0.5618,-0.5618,-0.4457,-0.5735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2 – Moderada (26:1) (seed 2030),1.0,1.747,14.678,2.767,4.217,0.936,2.274,0.111,22.336,10.425,6.391,0.969,-1.0,0.784,-0.7265,-0.7265,-0.6084,-0.4048,0.0,0.0,0.0,0.0,0.0,0.000505,0.0,0.0,0.0,0.0,0.0,0.000433
S2 – Moderada (26:1) (seed 2031),1.0,1.505,14.843,2.856,3.864,0.943,2.203,0.101,22.778,10.792,6.766,0.968,-1.0,0.7561,-0.74,-0.74,-0.6413,-0.3243,0.0,0.0,0.0,0.0,0.0,0.009794,0.0,0.0,0.0,0.0,0.0,0.008861
S2 – Moderada (26:1) (seed 2032),1.0,1.781,14.731,2.789,4.106,0.936,2.234,0.069,22.876,10.934,6.716,0.973,-1.0,0.7878,-0.7392,-0.7392,-0.6197,-0.4382,0.0,0.0,0.0,0.0,0.0,5.1e-05,0.0,0.0,0.0,0.0,0.0,4.2e-05
