,FCFS,Rolling Horizon,Improvement (%)
Avg. Click-to-Door (min),5.25,18.08,244.38%
P10 Click-to-Door (min),3.06,11.51,276.14%
P50 Click-to-Door (min),5.16,17.28,234.88%
P90 Click-to-Door (min),7.48,27.05,261.63%
P95 Click-to-Door (min),8.12,30.09,270.57%
Avg. Ready-to-Pickup (min),-9.58,3.52,INVALID
P10 Ready-to-Pickup (min),-13.87,-1.45,INVALID
P50 Ready-to-Pickup (min),-9.52,2.83,INVALID
P90 Ready-to-Pickup (min),-5.37,10.63,INVALID
Avg. Ready-to-Door (min),-6.83,6.00,INVALID
P10 Ready-to-Door (min),-11.14,0.87,INVALID
P50 Ready-to-Door (min),-6.97,4.86,INVALID
P90 Ready-to-Door (min),-2.57,14.15,INVALID
% Undelivered Orders,0.00,0.00,✓ Both 0%
Total Distance (km),1175.74,2238.54,90.39%
Distance per Order (km),1.13,1.08,-4.42%
Orders per Courier per Hour,1.44,2.87,99.31%
Bundles per Hour,1.44,1.97,36.81%
Avg. Bundle Size,1.00,1.77,77.00%
% Orders in Multi-Bundles,0.00,52.60,Δ=52.60
Total Courier Compensation,12111.14,20750.00,71.33%
Cost per Order,11.67,10.00,-14.31%
Fraction of Couriers with Minimum Compensation,0.52,0.00,-100.00%
Click-to-Door Overage (min),0.00,0.00,✓ Both 0%
Courier Utilization (%),6.58,11.64,76.90%
Courier Delivery Earnings,10380.00,20750.00,99.90%
