order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,bundle_size
0,ready,2025-07-03 11:00:00,2025-07-03 11:10:00,,,,,1
1,ready,2025-07-03 11:00:00,2025-07-03 11:09:00,,,,,1
2,delivered,2025-07-03 11:00:00,2025-07-03 11:11:00,2025-07-03 11:00:00,2025-07-03 11:05:26.700,5.444999999999999,-11.0,1
3,delivered,2025-07-03 11:00:00,2025-07-03 11:04:00,2025-07-03 11:00:00,2025-07-03 11:03:49.400,3.8233333333333333,-4.0,1
4,delivered,2025-07-03 11:00:00,2025-07-03 11:08:00,2025-07-03 11:00:00,2025-07-03 11:05:53.400,5.89,-8.0,1
5,ready,2025-07-03 11:00:00,2025-07-03 11:04:00,,,,,1
6,delivered,2025-07-03 11:00:00,2025-07-03 11:05:00,2025-07-03 11:00:00,2025-07-03 11:08:02.200,8.036666666666667,-5.0,1
7,ready,2025-07-03 11:00:00,2025-07-03 11:09:00,,,,,1
8,delivered,2025-07-03 11:00:00,2025-07-03 11:07:00,2025-07-03 11:00:00,2025-07-03 11:10:03.900,10.065,-7.0,1
9,ready,2025-07-03 11:00:00,2025-07-03 11:06:00,,,,,1
10,ready,2025-07-03 11:01:00,2025-07-03 11:06:00,,,,,1
11,ready,2025-07-03 11:01:00,2025-07-03 11:13:00,,,,,1
12,ready,2025-07-03 11:01:00,2025-07-03 11:07:00,,,,,1
13,ready,2025-07-03 11:01:00,2025-07-03 11:09:00,,,,,1
14,ready,2025-07-03 11:01:00,2025-07-03 11:07:00,,,,,1
15,ready,2025-07-03 11:01:00,2025-07-03 11:07:00,,,,,1
16,ready,2025-07-03 11:01:00,2025-07-03 11:06:00,,,,,1
17,ready,2025-07-03 11:01:00,2025-07-03 11:12:00,,,,,1
18,ready,2025-07-03 11:01:00,2025-07-03 11:10:00,,,,,1
19,ready,2025-07-03 11:01:00,2025-07-03 11:05:00,,,,,1
20,ready,2025-07-03 11:01:00,2025-07-03 11:07:00,,,,,1
21,delivered,2025-07-03 11:01:00,2025-07-03 11:10:00,2025-07-03 11:10:00,2025-07-03 11:16:25.400,15.423333333333334,0.0,1
22,ready,2025-07-03 11:01:00,2025-07-03 11:06:00,,,,,1
23,ready,2025-07-03 11:01:00,2025-07-03 11:11:00,,,,,1
24,ready,2025-07-03 11:01:00,2025-07-03 11:08:00,,,,,1
25,ready,2025-07-03 11:02:00,2025-07-03 11:07:00,,,,,1
26,ready,2025-07-03 11:02:00,2025-07-03 11:10:00,,,,,1
27,ready,2025-07-03 11:02:00,2025-07-03 11:12:00,,,,,1
