order_id,status,placement_time,ready_time,pickup_time,delivery_time,click_to_door,ready_to_pickup,courier_id,bundle_size
0,delivered,2025-07-03 08:00:59,2025-07-03 08:06:04.793462,2025-07-03 08:05:09,2025-07-03 08:08:00.400,7.0233333333333325,-0.9298910333333333,4,1
1,delivered,2025-07-03 08:00:14,2025-07-03 08:13:38.675750,2025-07-03 08:05:09,2025-07-03 08:10:18.200,10.07,-8.494595833333333,2,1
2,delivered,2025-07-03 08:00:15,2025-07-03 08:13:29.868723,2025-07-03 08:05:09,2025-07-03 08:09:24.300,9.155,-8.34781205,9,1
3,delivered,2025-07-03 08:00:58,2025-07-03 08:10:35.806086,2025-07-03 08:05:09,2025-07-03 08:08:35.300,7.621666666666667,-5.4467681,10,1
4,delivered,2025-07-03 08:00:09,2025-07-03 08:14:03.027232,2025-07-03 08:00:09,2025-07-03 08:03:58.400,3.8233333333333333,-13.900453866666668,1,1
5,delivered,2025-07-03 08:01:02,2025-07-03 08:14:39.070698,2025-07-03 08:05:09,2025-07-03 08:10:30.000,9.466666666666667,-9.5011783,12,1
6,delivered,2025-07-03 08:01:47,2025-07-03 08:15:03.142374,2025-07-03 08:05:09,2025-07-03 08:08:20.000,6.55,-9.9023729,13,1
7,delivered,2025-07-03 08:01:53,2025-07-03 08:14:50.301678,2025-07-03 08:05:09,2025-07-03 08:08:55.300,7.038333333333333,-9.6883613,11,1
8,delivered,2025-07-03 08:02:05,2025-07-03 08:16:58.073655,2025-07-03 08:05:09,2025-07-03 08:08:49.900,6.748333333333333,-11.81789425,7,1
9,delivered,2025-07-03 08:03:57,2025-07-03 08:14:27.679399,2025-07-03 08:05:09,2025-07-03 08:07:53.500,3.941666666666667,-9.311323316666666,5,1
10,delivered,2025-07-03 08:04:10,2025-07-03 08:21:21.295143,2025-07-03 08:05:09,2025-07-03 08:11:10.600,7.010000000000001,-16.20491905,3,1
11,delivered,2025-07-03 08:04:44,2025-07-03 08:16:46.159424,2025-07-03 08:05:09,2025-07-03 08:08:07.000,3.3833333333333333,-11.619323733333333,14,1
12,delivered,2025-07-03 08:05:05,2025-07-03 08:22:04.257777,2025-07-03 08:05:09,2025-07-03 08:08:03.200,2.9699999999999998,-16.92096295,6,1
13,delivered,2025-07-03 08:05:08,2025-07-03 08:19:18.460993,2025-07-03 08:05:09,2025-07-03 08:09:52.300,4.738333333333333,-14.157683216666667,8,1
14,delivered,2025-07-03 08:06:14,2025-07-03 08:18:15.801963,2025-07-03 08:10:09,2025-07-03 08:13:49.600,7.593333333333334,-8.11336605,22,1
15,delivered,2025-07-03 08:07:14,2025-07-03 08:25:46.952563,2025-07-03 08:10:09,2025-07-03 08:15:56.000,8.7,-15.632542716666668,17,1
16,delivered,2025-07-03 08:07:21,2025-07-03 08:17:56.570328,2025-07-03 08:10:09,2025-07-03 08:12:52.400,5.5233333333333325,-7.7928388,15,1
17,delivered,2025-07-03 08:08:15,2025-07-03 08:16:12.801108,2025-07-03 08:10:09,2025-07-03 08:15:21.600,7.11,-6.0633518,18,1
18,delivered,2025-07-03 08:08:51,2025-07-03 08:22:26.155734,2025-07-03 08:10:09,2025-07-03 08:13:37.800,4.78,-12.2859289,23,1
19,delivered,2025-07-03 08:09:23,2025-07-03 08:20:18.006299,2025-07-03 08:10:09,2025-07-03 08:13:36.800,4.23,-10.150104983333334,16,1
20,delivered,2025-07-03 08:09:56,2025-07-03 08:21:05.366719,2025-07-03 08:10:09,2025-07-03 08:12:59.000,3.05,-10.939445316666667,21,1
21,delivered,2025-07-03 08:09:42,2025-07-03 08:20:06.562753,2025-07-03 08:10:09,2025-07-03 08:13:53.000,4.183333333333334,-9.959379216666667,1,1
22,delivered,2025-07-03 08:09:33,2025-07-03 08:24:21.822675,2025-07-03 08:10:09,2025-07-03 08:12:14.000,2.683333333333333,-14.21371125,19,1
23,delivered,2025-07-03 08:09:50,2025-07-03 08:23:29.903607,2025-07-03 08:10:09,2025-07-03 08:12:22.200,2.5366666666666666,-13.34839345,20,1
